Connecting to host 10.0.0.1, port 5342
[  5] local 10.0.0.4 port 53972 connected to 10.0.0.1 port 5342
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.38 MBytes  70.2 Mbits/sec    0   4.75 MBytes       
[  5]   1.00-2.00   sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]   2.00-3.00   sec  22.8 MBytes   191 Mbits/sec    0   4.78 MBytes       
[  5]   3.00-4.00   sec  22.8 MBytes   191 Mbits/sec    0   4.78 MBytes       
[  5]   4.00-5.00   sec  23.0 MBytes   193 Mbits/sec    0   4.78 MBytes       
[  5]   5.00-6.00   sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]   6.00-7.00   sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]   7.00-8.00   sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]   8.00-9.00   sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]   9.00-10.00  sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]  10.00-11.00  sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]  11.00-12.00  sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]  12.00-13.00  sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]  13.00-14.00  sec  22.9 MBytes   192 Mbits/sec    0   4.78 MBytes       
[  5]  14.00-15.00  sec  21.6 MBytes   181 Mbits/sec    0   1.69 MBytes       
[  5]  15.00-16.00  sec  13.5 MBytes   113 Mbits/sec    0   1.26 MBytes       
[  5]  16.00-17.00  sec  12.2 MBytes   103 Mbits/sec    0   1.33 MBytes       
[  5]  17.00-18.00  sec  13.5 MBytes   113 Mbits/sec    0   1.39 MBytes       
[  5]  18.00-19.00  sec  13.6 MBytes   114 Mbits/sec    0   1.42 MBytes       
[  5]  19.00-20.00  sec  13.5 MBytes   113 Mbits/sec    0   1.44 MBytes       
[  5]  20.00-21.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.07 MBytes       
[  5]  21.00-22.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.13 MBytes       
[  5]  22.00-23.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.17 MBytes       
[  5]  23.00-24.00  sec  10.8 MBytes  90.2 Mbits/sec    0   1.20 MBytes       
[  5]  24.00-25.00  sec  12.2 MBytes   103 Mbits/sec    0   1.22 MBytes       
[  5]  25.00-26.00  sec  10.9 MBytes  91.2 Mbits/sec    0   1.22 MBytes       
[  5]  26.00-27.00  sec  12.1 MBytes   102 Mbits/sec    0   1.22 MBytes       
[  5]  27.00-28.00  sec  12.2 MBytes   103 Mbits/sec    0   1.22 MBytes       
[  5]  28.00-29.00  sec  12.2 MBytes   103 Mbits/sec    0   1.22 MBytes       
[  5]  29.00-30.00  sec  10.8 MBytes  90.2 Mbits/sec    0   1.23 MBytes       
[  5]  30.00-31.00  sec  12.2 MBytes   103 Mbits/sec    0   1.25 MBytes       
[  5]  31.00-32.00  sec  12.2 MBytes   103 Mbits/sec    0   1.27 MBytes       
[  5]  32.00-33.00  sec  12.1 MBytes   102 Mbits/sec    0   1.31 MBytes       
[  5]  33.00-34.00  sec  13.6 MBytes   114 Mbits/sec    0   1.37 MBytes       
[  5]  34.00-35.00  sec  13.5 MBytes   113 Mbits/sec    0   1.45 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec   571 MBytes   137 Mbits/sec    0             sender
[  5]   0.00-35.10  sec   569 MBytes   136 Mbits/sec                  receiver

iperf Done.
